model,member,experiment
ACCESS-CM2,r1i1p1f1,ssp370
ACCESS-CM2,r4i1p1f1,ssp370
ACCESS-CM2,r5i1p1f1,ssp370
ACCESS-CM2,r1i1p1f1,historical
ACCESS-CM2,r4i1p1f1,historical
ACCESS-CM2,r5i1p1f1,historical
ACCESS-ESM1-5,r1i1p1f1,ssp370
ACCESS-ESM1-5,r2i1p1f1,ssp370
ACCESS-ESM1-5,r3i1p1f1,ssp370
ACCESS-ESM1-5,r4i1p1f1,ssp370
ACCESS-ESM1-5,r5i1p1f1,ssp370
ACCESS-ESM1-5,r6i1p1f1,ssp370
ACCESS-ESM1-5,r7i1p1f1,ssp370
ACCESS-ESM1-5,r8i1p1f1,ssp370
ACCESS-ESM1-5,r9i1p1f1,ssp370
ACCESS-ESM1-5,r10i1p1f1,ssp370
ACCESS-ESM1-5,r11i1p1f1,ssp370
ACCESS-ESM1-5,r12i1p1f1,ssp370
ACCESS-ESM1-5,r13i1p1f1,ssp370
ACCESS-ESM1-5,r14i1p1f1,ssp370
ACCESS-ESM1-5,r15i1p1f1,ssp370
ACCESS-ESM1-5,r16i1p1f1,ssp370
ACCESS-ESM1-5,r17i1p1f1,ssp370
ACCESS-ESM1-5,r18i1p1f1,ssp370
ACCESS-ESM1-5,r19i1p1f1,ssp370
ACCESS-ESM1-5,r20i1p1f1,ssp370
ACCESS-ESM1-5,r21i1p1f1,ssp370
ACCESS-ESM1-5,r22i1p1f1,ssp370
ACCESS-ESM1-5,r23i1p1f1,ssp370
ACCESS-ESM1-5,r24i1p1f1,ssp370
ACCESS-ESM1-5,r25i1p1f1,ssp370
ACCESS-ESM1-5,r26i1p1f1,ssp370
ACCESS-ESM1-5,r27i1p1f1,ssp370
ACCESS-ESM1-5,r28i1p1f1,ssp370
ACCESS-ESM1-5,r29i1p1f1,ssp370
ACCESS-ESM1-5,r30i1p1f1,ssp370
ACCESS-ESM1-5,r31i1p1f1,ssp370
ACCESS-ESM1-5,r32i1p1f1,ssp370
ACCESS-ESM1-5,r33i1p1f1,ssp370
ACCESS-ESM1-5,r34i1p1f1,ssp370
ACCESS-ESM1-5,r35i1p1f1,ssp370
ACCESS-ESM1-5,r36i1p1f1,ssp370
ACCESS-ESM1-5,r37i1p1f1,ssp370
ACCESS-ESM1-5,r38i1p1f1,ssp370
ACCESS-ESM1-5,r39i1p1f1,ssp370
ACCESS-ESM1-5,r40i1p1f1,ssp370
BCC-CSM2-MR,r1i1p1f1,ssp370
BCC-CSM2-MR,r1i1p1f1,historical
BCC-ESM1,r1i1p1f1,ssp370
BCC-ESM1,r2i1p1f1,ssp370
BCC-ESM1,r3i1p1f1,ssp370
BCC-ESM1,r1i1p1f1,historical
CAMS-CSM1-0,r2i1p1f1,ssp370
CESM2,r1i1p1f1,ssp370
CESM2,r2i1p1f1,ssp370
CESM2,r4i1p1f1,ssp370
CESM2,r10i1p1f1,ssp370
CESM2,r11i1p1f1,ssp370
CESM2,r1i1p1f1,historical
CESM2,r2i1p1f1,historical
CESM2,r3i1p1f1,historical
CESM2,r4i1p1f1,historical
CESM2,r5i1p1f1,historical
CESM2,r6i1p1f1,historical
CESM2,r7i1p1f1,historical
CESM2,r8i1p1f1,historical
CESM2,r9i1p1f1,historical
CESM2,r11i1p1f1,historical
CESM2-WACCM,r1i1p1f1,ssp370
CESM2-WACCM,r2i1p1f1,ssp370
CESM2-WACCM,r3i1p1f1,ssp370
CESM2-WACCM,r1i1p1f1,historical
CESM2-WACCM,r2i1p1f1,historical
CESM2-WACCM,r3i1p1f1,historical
CMCC-CM2-SR5,r1i1p1f1,ssp370
CMCC-ESM2,r1i1p1f1,ssp370
CNRM-CM6-1,r1i1p1f2,ssp370
CNRM-CM6-1,r2i1p1f2,ssp370
CNRM-CM6-1,r3i1p1f2,ssp370
CNRM-CM6-1,r4i1p1f2,ssp370
